Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,P2000,100,92,0,0,0,False,False,False,100.5469,359.2969
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,P2000,100,92,0,0,0,False,False,False,101.6016,1.054688
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,P2000,100,92,0,0,0,False,False,False,269.6484,1.757813
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,P2000,100,92,0,0,0,False,False,False,274.5703,4.570313
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,P2000,100,92,0,0,0,False,False,False,274.5703,4.570313
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,P2000,100,92,0,0,0,False,False,False,274.5703,4.570313
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,P2000,100,92,0,0,0,False,False,False,274.5703,4.570313
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,P2000,100,92,0,0,0,False,False,False,274.5703,4.570313
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,P2000,100,92,0,0,0,False,False,False,278.4375,6.328125
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,P2000,100,92,0,0,0,False,False,False,286.875,7.734375
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,P2000,100,92,0,0,0,False,False,False,298.8281,9.492188
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,P2000,100,92,0,0,0,False,False,False,311.1328,11.60156
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,P2000,100,92,0,0,0,False,False,False,315,12.65625
